,'t',x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30
52,27.9053977905676,4.54146270544067,4.54146092511742,4.54146174520709,4.54146479764654,4.54146494803626,4.54146831931102,4.54146045832492,4.54146270348905,-1.74171874756132,4.54146378481799,0.190959866970148,0.766527493194539,-0.143432406660486,-0.481087201538884,-0.113440266971008,-0.276975203552702,0.459669996248938,0.748513582676341,0.245269965343324,0.346609276199409,0.274121234753923,0.200108751486754,0.592802570767841,0.160721335840878,-0.0796656263237351,-0.482316811702176,0.628734879958789,-0.33591989696239,-0.617295362461912,-0.144859612264303
53,29.1301924751998,4.54146310434723,4.54146205843865,4.54146256129595,4.54146437088341,4.54146443250829,4.54146640415898,4.54146173739597,4.54146314470905,-1.74171992516852,4.54146375130556,0.192169359973615,0.766655083718272,-0.144163402473592,-0.481089126052835,-0.112076795254468,-0.278167062157987,0.45877403674262,0.748583819923613,0.244065220800168,0.347863966690211,0.274632668206475,0.200489231202034,0.591874322864405,0.159578315334251,-0.0792282656096318,-0.480965529655791,0.629545824234627,-0.336370095734716,-0.617458478455594,-0.145666529292394
54,30.212707620323,4.54146334817122,4.54146274376416,4.5414630461596,4.54146410150186,4.54146412170915,4.54146525640421,4.54146253264768,4.54146339476875,-1.74172063456962,4.54146372939988,0.193199535151665,0.766803803464022,-0.145019485531126,-0.481066584629322,-0.110297776942018,-0.2792470011666,0.458071195341937,0.748872218269835,0.242765675602225,0.348533522349,0.2745371395096,0.200885931142631,0.590918407205261,0.158564427405919,-0.0785895553498359,-0.47977200694628,0.630463159307527,-0.336916969179491,-0.617652561853742,-0.146006508147925
55,31.3284425586698,4.54146350590705,4.54146318028321,4.54146334961781,4.54146392267913,4.54146392382763,4.54146453221471,4.54146305230959,4.54146354348647,-1.74172108475616,4.54146371445546,0.194416061797981,0.766961900072395,-0.145823670105766,-0.481065150946623,-0.108822225166152,-0.280389611056433,0.45720120724033,0.748955257303611,0.241501368560475,0.349679964209799,0.274965095854075,0.201249385346891,0.58994156178832,0.157395534914317,-0.0780854832808989,-0.478428143244643,0.631328394044812,-0.337449720823231,-0.61780359734268,-0.146681564163297
56,32.5847815574951,4.5414635933882,4.54146342074026,4.54146351379115,4.5414638201116,4.54146381581439,4.54146413702414,4.54146334589772,4.54146361966403,-1.74172133197663,4.54146370570977,0.19543883291388,0.767135499769627,-0.146709737077656,-0.48104615570563,-0.107013404387905,-0.281406017034012,0.456514282216528,0.74922631873595,0.240186248805713,0.350289233673123,0.274849791111682,0.201618022187105,0.588962160427277,0.156374318757063,-0.0774192209711113,-0.47725816607426,0.632270747984061,-0.338057234738648,-0.617970713575098,-0.146938242014406
57,33.8717603826026,4.54146363710161,4.54146354009632,4.54146359398043,4.54146376733007,4.54146376272247,4.54146394252169,4.54146349484791,4.54146365490842,-1.74172145438601,4.54146370116526,0.196467011425132,0.767277395302345,-0.147338354099534,-0.481049585446324,-0.105966588140132,-0.28228809169113,0.455771342120791,0.749202393980321,0.23919580671227,0.351343771745878,0.275374407870995,0.201878406407832,0.588176972779108,0.155392930920291,-0.0770606033527052,-0.476156471870373,0.632939720858348,-0.338505217100971,-0.618060608778864,-0.147548074639997
58,35.0470928638463,4.54146366072015,4.54146360422169,4.54146363645191,4.54146373815786,4.54146373440636,4.54146383881992,4.54146357627369,4.54146367270788,-1.74172152003381,4.54146369861999,0.19721168899107,0.767421044846401,-0.148012506727129,-0.481036285286387,-0.104590275929333,-0.283000659982496,0.455272710597871,0.749403992313254,0.238207619933266,0.351737773153098,0.275244190197501,0.202139311716157,0.587436894005027,0.154643180340575,-0.0765425830036241,-0.475311669387095,0.633658964970443,-0.338995823216021,-0.61816880394469,-0.147672198584608
59,36.1509335462004,4.54146367524769,4.54146364318543,4.54146366192763,4.54146371998649,4.54146371722171,4.54146377627796,4.54146362646358,4.54146368289799,-1.74172155985339,4.54146369701643,0.198077840826458,0.767554964576893,-0.148567102995707,-0.481036064383825,-0.103663262304961,-0.283716876683149,0.454649718960796,0.749390260338592,0.237347308345577,0.352578315228943,0.275637775495238,0.202354749979468,0.586756124894886,0.153814817195591,-0.0762116273134681,-0.474392400245806,0.63424751047986,-0.339413650160122,-0.618236271635127,-0.148125565596855
60,37.3090549206236,4.54146368406037,4.54146366663674,4.54146367706145,4.54146370879141,4.5414637069275,4.54146373891655,4.54146365709041,4.54146368866922,-1.74172158378444,4.54146369601871,0.198812331914794,0.767703975735909,-0.149212164152439,-0.48102568085435,-0.102374608311457,-0.284380762132295,0.454148053606913,0.749551998212361,0.236398318188768,0.352993639701413,0.275560309902933,0.202594133529594,0.586036573897066,0.153082106244574,-0.0757217334714661,-0.473576650928026,0.634941494548671,-0.339908413032172,-0.618322853991755,-0.148253503605755
61,38.5527558505619,4.54146368886588,4.54146367933973,4.5414636851588,4.54146370258831,4.54146370138915,4.54146371882179,4.54146367389682,4.54146369160643,-1.74172159673115,4.54146369546436,0.199622972547241,0.767832819355559,-0.149700064774631,-0.481025135595801,-0.101613161209206,-0.285008028202607,0.453555777387842,0.749494967351986,0.235633452673578,0.353821502375654,0.275998763856927,0.2027772295516,0.585422943802449,0.152318775590187,-0.0754464805165627,-0.472737321633333,0.635460156029559,-0.340297086977469,-0.618368542352557,-0.148696974257138
