t,x0,x1
47.63,73.72966732970663,1.6747518088307294
47.64,73.74646476575228,1.6847120357705587
47.65,73.76336182856956,1.6946857989231945
47.66,73.78035860766634,1.7046702624105796
47.67,73.79745519255054,1.7146625903546382
47.68,73.81465167273004,1.7246599468773136
47.69,73.83194813771274,1.7346594961005433
47.7,73.84934467709125,1.744658401805052
47.71,73.86684133254617,1.7546537103111024
47.72,73.88443797183271,1.7646421928314264
47.73,73.90213442530698,1.7746205825237442
47.74,73.91993052332506,1.7845856125457542
47.75,73.93782609624304,1.7945340160551764
47.76,73.95582097441705,1.804462526209724
47.77,73.97391498820318,1.8143678761671167
47.78,73.9921079679575,1.8242467990850535
47.79,74.01039973479476,1.8340960001514748
47.8,74.02878995469935,1.8439119543423828
47.81,74.04727816861043,1.8536910390470307
47.82,74.06586391410428,1.8634296327180249
47.83,74.08454672875716,1.873124113807963
47.84,74.10332615014532,1.882770860769452
47.85,74.122201715845,1.8923662520550768
47.86,74.14117296343244,1.9019066661174429
47.870000000000005,74.16023943040813,1.9113884799797032
47.88,74.17940057904624,1.9208079539090557
47.89,74.19865566428783,1.930161232508926
47.9,74.21800390601723,1.9394444717822952
47.91,74.23744452411881,1.9486538277321517
47.92,74.25697673847691,1.9577854563614627
47.93,74.2765997689759,1.9668355136732167
47.94,74.2963128355001,1.9758001556703948
47.95,74.31611515793394,1.984675538355984
47.96,74.33600593916239,1.993457785822876
47.97,74.35598419157154,2.002142940392507
47.98,74.37604880797682,2.0107271182409963
47.99,74.39619867934739,2.019206441822262
48.0,74.41643269665248,2.0275770335902417
48.01,74.43674975086124,2.0358350159988663
48.02,74.45714873294291,2.0439765115020734
48.03,74.47762853386662,2.051997642553782
48.04,74.49818804240967,2.0598945305488296
48.05,74.51882600891727,2.0676633045931307
48.06,74.53954102949825,2.075300221021207
48.07,74.56033170295134,2.08280157014316
48.08,74.5811966280753,2.090163642269087
48.09,74.60213440366886,2.097382727709088
48.1,74.62314362853071,2.104455116773251
48.11,74.64422289902248,2.1113770971106693
48.120000000000005,74.66537071100255,2.118145030067013
48.13,74.68658542826572,2.124755509759103
48.14,74.70786540581675,2.1312051629626096
48.15,74.7292089986604,2.1374906164531984
48.16,74.75061456180147,2.143608497006539
48.17,74.7720804502447,2.149555431398288
48.18,74.7936050124836,2.155328046692631
48.19,74.81518648394578,2.160923161286058
48.2,74.83682300745706,2.166337887911651
48.21,74.85851272342477,2.171569360191918
48.22,74.8802537722563,2.1766147117493815
48.23,74.90204429435902,2.1814710762065617
48.24,74.92388243014028,2.186135587185969
48.25,74.94576630754533,2.1906053940247543
48.26,74.9676939447305,2.1948779868715795
48.27,74.98966330751963,2.1989511577363094
48.28,75.01167236182006,2.202822707808629
48.29,75.03371907353916,2.20649043827823
48.3,75.05580140858432,2.209952150334805
48.31,75.07791733286287,2.2132056451680384
48.32,75.10006479372424,2.2162487744758317
48.33,75.12224165160377,2.219079873141887
48.34,75.14444574812885,2.2216975366351495
48.35,75.16667492529247,2.224100362644065
48.36,75.18892702508764,2.2262869488570862
48.370000000000005,75.2111998895074,2.2282558929626637
48.38,75.23349136054472,2.230005792649245
48.39,75.25579925817787,2.2315353572987244
48.4,75.27812135529493,2.232843879031015
48.41,75.3004554275948,2.2339308380448286
48.42,75.32279925082103,2.234795714608765
48.43,75.34515060071718,2.2354379889914275
48.44,75.36750725302677,2.235857141461418
48.45,75.38986698337133,2.236052652408764
48.46,75.41222754941859,2.236024200704844
48.47,75.43458671101669,2.2357720676981265
48.48,75.45694223965013,2.235296648621692
48.49,75.47929190680335,2.2345983387086212
48.5,75.50163348396082,2.233677533191995
48.51,75.52396474260702,2.2325346273048945
48.52,75.54628345354773,2.23117001914095
48.53,75.5685873868336,2.229584400067754
